data_type	code	name	short_name	extra1	extra2	create_by	create_time
MATERIAL	201-R02-2525-C03-0300	201-R02-2525-C03-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R02-2525-C03-0300聽	201-R02-2525-C03-0300聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R02-2525-C03-0600聽	201-R02-2525-C03-0600聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R02-2525-C03-0600聽聽	201-R02-2525-C03-0600聽聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R02-2525-C03-1000	201-R02-2525-C03-1000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R02-2530-C03-0600	201-R02-2530-C03-0600				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R02-2530-C03-1000	201-R02-2530-C03-1000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R02-2530-C03-1000A	201-R02-2530-C03-1000A				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R02-2530-C03-1200聽	201-R02-2530-C03-1200聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R02-5050-C03-1000	201-R02-5050-C03-1000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R04-2510-C03-0700A	201-R04-2510-C03-0700A				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R04-2525-C03-0900M聽	201-R04-2525-C03-0900M聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R04-2535-C03-0900-M	201-R04-2535-C03-0900-M				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-RF-TE50-2525-C03-0900M	201-RF-TE50-2525-C03-0900M				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-TE50-2525-C03-0900M	201-TE50-2525-C03-0900M				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-TE50-5050-C03-1200	201-TE50-5050-C03-1200				system-auto-sync	2026-03-30 17:53:33
